,location,total_sqft,bath,price,bhk
1869,Electronic City,660.0,1.0,15.0,2
1870,Electronic City,1000.0,2.0,41.0,2
1871,Electronic City,1500.0,2.0,78.0,3
1872,Electronic City,1213.0,2.0,59.32,2
1873,Electronic City,1575.0,3.0,90.0,3
1874,Electronic City,1449.0,3.0,100.0,3
1875,Electronic City,1310.0,2.0,37.83,3
1876,Electronic City,1125.0,2.0,58.0,2
1877,Electronic City,1090.0,2.0,35.03,2
1878,Electronic City,1575.0,3.0,101.0,3
1879,Electronic City,660.0,1.0,16.0,2
1880,Electronic City,550.0,1.0,12.0,1
1881,Electronic City,919.0,2.0,40.0,2
1882,Electronic City,1500.0,2.0,78.25,3
1883,Electronic City,1363.0,2.0,79.0,2
1884,Electronic City,1156.0,2.0,42.0,2
1885,Electronic City,1020.0,2.0,29.46,2
1886,Electronic City,1108.0,2.0,67.15,2
1887,Electronic City,1160.0,2.0,33.5,2
1888,Electronic City,1128.0,2.0,65.7,2
1889,Electronic City,1170.0,2.0,33.0,2
1890,Electronic City,1060.0,2.0,51.0,2
1891,Electronic City,1410.0,2.0,38.0,3
1892,Electronic City,1650.0,3.0,100.0,3
1893,Electronic City,1020.0,2.0,29.45,2
1894,Electronic City,1025.0,2.0,49.0,2
1895,Electronic City,1000.0,2.0,29.7,2
1896,Electronic City,1449.0,3.0,90.0,3
1897,Electronic City,1065.0,2.0,30.75,2
1898,Electronic City,1070.0,2.0,58.0,2
1899,Electronic City,1210.0,2.0,54.0,2
1900,Electronic City,1500.0,2.0,75.0,3
1901,Electronic City,1033.0,2.0,28.41,3
1902,Electronic City,1070.0,2.0,52.0,2
1903,Electronic City,2435.0,4.0,119.0,4
1904,Electronic City,660.0,1.0,15.5,2
1905,Electronic City,1125.0,2.0,32.5,2
1906,Electronic City,1165.0,2.0,33.64,2
1907,Electronic City,919.0,2.0,34.0,2
1908,Electronic City,1073.0,2.0,60.0,2
1909,Electronic City,1500.0,2.0,78.0,3
1910,Electronic City,1070.0,2.0,47.0,2
1911,Electronic City,1296.0,2.0,65.0,2
1912,Electronic City,1140.0,2.0,70.93,2
1913,Electronic City,1200.0,2.0,34.65,2
1914,Electronic City,1096.0,2.0,40.55,2
1915,Electronic City,1017.0,2.0,27.0,2
1916,Electronic City,1130.0,2.0,32.63,2
1917,Electronic City,1110.0,2.0,39.95,2
1918,Electronic City,2093.0,4.0,104.0,4
1919,Electronic City,1025.0,2.0,53.9,2
1920,Electronic City,940.0,2.0,54.0,2
1921,Electronic City,435.0,1.0,21.0,1
1922,Electronic City,1500.0,2.0,77.5,3
1923,Electronic City,1631.0,3.0,80.0,3
1924,Electronic City,1355.0,2.0,67.0,2
1925,Electronic City,1200.0,2.0,34.0,2
1926,Electronic City,1175.0,2.0,47.0,2
1927,Electronic City,435.0,1.0,22.0,1
1928,Electronic City,1500.0,2.0,63.0,3
1929,Electronic City,1039.0,2.0,50.0,2
1930,Electronic City,770.0,1.0,39.9,2
1931,Electronic City,919.0,2.0,35.0,2
1932,Electronic City,1128.0,2.0,64.0,2
1933,Electronic City,605.0,1.0,13.31,1
1934,Electronic City,1159.0,2.0,38.0,3
1935,Electronic City,530.0,1.0,13.5,1
1936,Electronic City,1070.0,2.0,53.0,2
1937,Electronic City,1025.0,1.0,26.63,2
1938,Electronic City,2400.0,2.0,78.0,3
1939,Electronic City,1571.0,3.0,83.0,3
1940,Electronic City,1470.0,2.0,44.1,3
1941,Electronic City,1350.0,3.0,66.0,3
1942,Electronic City,1652.0,3.0,110.0,3
1943,Electronic City,1320.0,2.0,38.12,3
1944,Electronic City,1090.0,2.0,31.48,2
1945,Electronic City,1050.0,2.0,39.0,3
1946,Electronic City,1128.0,2.0,65.58,2
1947,Electronic City,635.0,1.0,28.0,1
1948,Electronic City,1128.0,2.0,65.4,2
1949,Electronic City,1096.0,2.0,39.0,2
1950,Electronic City,1150.0,2.0,38.0,2
1951,Electronic City,1355.0,2.0,72.9,2
1952,Electronic City,1200.0,2.0,30.0,2
1953,Electronic City,1150.0,2.0,35.0,2
1954,Electronic City,1165.0,2.0,33.64,2
1955,Electronic City,770.0,1.0,35.0,2
1956,Electronic City,1020.0,2.0,29.45,2
1957,Electronic City,865.0,2.0,40.0,2
1958,Electronic City,800.0,2.0,32.0,2
1959,Electronic City,970.0,2.0,34.0,2
1960,Electronic City,1108.0,2.0,63.0,2
1961,Electronic City,630.0,1.0,40.5,1
1962,Electronic City,1100.0,2.0,41.0,2
1963,Electronic City,975.0,2.0,32.0,2
1964,Electronic City,605.0,1.0,22.0,1
1965,Electronic City,1142.0,2.0,35.0,2
1966,Electronic City,1070.0,2.0,48.0,2
1967,Electronic City,1160.0,2.0,42.0,3
1968,Electronic City,1360.0,2.0,70.0,3
1969,Electronic City,635.0,1.0,28.0,1
1970,Electronic City,1128.0,2.0,65.45,2
1971,Electronic City,890.0,2.0,40.0,2
1972,Electronic City,1065.0,2.0,30.75,2
1973,Electronic City,1127.0,2.0,32.0,2
1974,Electronic City,825.0,2.0,35.0,2
1975,Electronic City,1200.0,2.0,40.5,2
1976,Electronic City,1360.0,2.0,58.0,3
1977,Electronic City,1400.0,2.0,40.45,3
1978,Electronic City,1065.0,2.0,30.76,2
1979,Electronic City,630.0,1.0,33.7,1
1980,Electronic City,1025.0,2.0,29.61,2
1981,Electronic City,1160.0,2.0,42.0,3
1982,Electronic City,660.0,1.0,16.5,2
1983,Electronic City,1400.0,3.0,90.0,3
1984,Electronic City,1287.0,3.0,55.0,3
1985,Electronic City,1258.0,2.0,85.5,2
1986,Electronic City,1386.0,2.0,85.0,2
1987,Electronic City,1025.0,2.0,50.0,2
1988,Electronic City,1140.0,2.0,33.84,2
1989,Electronic City,1070.0,2.0,55.0,2
1990,Electronic City,1342.0,2.0,72.0,2
1991,Electronic City,1275.0,3.0,70.0,3
1992,Electronic City,770.0,1.0,38.0,2
1993,Electronic City,1200.0,2.0,34.65,2
1994,Electronic City,1005.0,2.0,39.77,2
1995,Electronic City,1110.0,2.0,39.9,2
1996,Electronic City,660.0,1.0,23.0,2
1997,Electronic City,1644.0,3.0,92.59,3
1998,Electronic City,1250.0,2.0,62.0,2
1999,Electronic City,1020.0,2.0,30.27,2
2000,Electronic City,1025.0,2.0,29.6,2
2001,Electronic City,418.0,1.0,12.0,1
2002,Electronic City,1128.0,2.0,64.8,2
2003,Electronic City,1220.0,2.0,35.25,3
2004,Electronic City,1220.0,2.0,35.23,3
2005,Electronic City,1060.0,2.0,55.0,2
2006,Electronic City,710.0,1.0,40.42,1
2007,Electronic City,1000.0,2.0,29.95,2
2008,Electronic City,870.0,2.0,24.0,2
2009,Electronic City,1275.0,3.0,63.43,3
2010,Electronic City,1518.0,3.0,75.0,3
2011,Electronic City,1090.0,2.0,31.48,1
2012,Electronic City,1140.0,2.0,32.92,2
2013,Electronic City,1125.0,2.0,32.49,2
2014,Electronic City,1060.0,2.0,55.0,2
2015,Electronic City,1200.0,2.0,34.66,2
2016,Electronic City,1353.0,2.0,75.0,2
2017,Electronic City,660.0,1.0,18.0,2
2018,Electronic City,1128.0,2.0,67.0,2
2019,Electronic City,1070.0,2.0,57.0,2
2020,Electronic City,1700.0,3.0,90.0,3
2021,Electronic City,1521.0,2.0,57.5,3
2022,Electronic City,750.0,1.0,35.0,1
2023,Electronic City,1210.0,2.0,55.0,2
2024,Electronic City,1070.0,2.0,60.0,2
2025,Electronic City,1400.0,2.0,40.44,3
2026,Electronic City,1190.0,2.0,42.0,2
2027,Electronic City,880.0,2.0,19.0,2
2028,Electronic City,1150.0,2.0,38.08,2
2029,Electronic City,1615.0,3.0,97.0,3
2030,Electronic City,1165.0,2.0,33.65,2
2031,Electronic City,1221.0,2.0,68.0,2
2032,Electronic City,970.0,2.0,35.0,2
2033,Electronic City,1500.0,3.0,73.0,3
2034,Electronic City,995.0,2.0,48.0,2
2035,Electronic City,1342.0,2.0,90.0,2
2036,Electronic City,1320.0,2.0,38.12,3
2037,Electronic City,1128.0,2.0,63.5,2
2038,Electronic City,589.0,1.0,29.0,1
2039,Electronic City,1125.0,2.0,28.13,2
2040,Electronic City,825.0,2.0,30.0,2
2041,Electronic City,1575.0,3.0,94.5,3
2042,Electronic City,1070.0,2.0,48.0,2
2043,Electronic City,1025.0,2.0,54.0,2
2044,Electronic City,1500.0,2.0,70.0,3
2045,Electronic City,1500.0,2.0,64.5,3
2046,Electronic City,1140.0,2.0,32.93,2
2047,Electronic City,2093.0,4.0,134.0,4
2048,Electronic City,750.0,2.0,19.5,2
2049,Electronic City,1355.0,2.0,73.0,2
2050,Electronic City,1360.0,2.0,64.99,3
2051,Electronic City,1060.0,2.0,52.0,2
2052,Electronic City Phase II,1056.0,2.0,39.07,2
2053,Electronic City Phase II,1020.0,2.0,30.6,2
2054,Electronic City Phase II,1069.0,2.0,45.0,2
2055,Electronic City Phase II,630.0,1.0,28.35,1
2056,Electronic City Phase II,1220.0,2.0,35.23,3
2057,Electronic City Phase II,1000.0,2.0,25.0,2
2058,Electronic City Phase II,1090.0,2.0,28.34,2
2059,Electronic City Phase II,2225.0,4.0,98.88,4
2060,Electronic City Phase II,1400.0,2.0,40.43,3
2061,Electronic City Phase II,775.0,2.0,38.0,2
2062,Electronic City Phase II,1266.0,2.0,59.0,2
2063,Electronic City Phase II,1000.0,2.0,28.88,2
2064,Electronic City Phase II,1320.0,2.0,38.13,3
2065,Electronic City Phase II,1220.0,3.0,35.23,3
2066,Electronic City Phase II,972.0,2.0,44.0,2
2067,Electronic City Phase II,1400.0,2.0,40.43,3
2068,Electronic City Phase II,1031.0,2.0,55.0,2
2069,Electronic City Phase II,1003.0,2.0,40.6,2
2070,Electronic City Phase II,1031.0,2.0,56.35,2
2071,Electronic City Phase II,1320.0,2.0,38.12,3
2072,Electronic City Phase II,1395.0,2.0,62.78,3
2073,Electronic City Phase II,1160.0,2.0,33.5,2
2074,Electronic City Phase II,1065.0,2.0,30.75,2
2075,Electronic City Phase II,1219.0,2.0,61.25,2
2076,Electronic City Phase II,1400.0,2.0,41.58,3
2077,Electronic City Phase II,1000.0,2.0,28.88,2
2078,Electronic City Phase II,1790.0,3.0,100.0,3
2079,Electronic City Phase II,769.0,2.0,40.0,2
2080,Electronic City Phase II,1400.0,2.0,40.43,3
2081,Electronic City Phase II,900.0,2.0,32.5,2
2082,Electronic City Phase II,1329.0,2.0,41.0,3
2083,Electronic City Phase II,1220.0,3.0,35.23,3
2084,Electronic City Phase II,993.0,2.0,50.0,3
2085,Electronic City Phase II,1418.0,3.0,52.47,3
2086,Electronic City Phase II,1070.0,2.0,45.0,2
2087,Electronic City Phase II,1310.0,2.0,32.75,3
2088,Electronic City Phase II,1310.0,2.0,37.83,3
2089,Electronic City Phase II,1140.0,2.0,33.06,2
2090,Electronic City Phase II,1089.0,2.0,32.67,2
2091,Electronic City Phase II,1031.0,2.0,55.0,2
2092,Electronic City Phase II,1253.0,2.0,65.8,2
2093,Electronic City Phase II,1400.0,2.0,40.44,3
2094,Electronic City Phase II,1160.0,2.0,33.5,2
2095,Electronic City Phase II,975.0,2.0,45.0,3
2096,Electronic City Phase II,6000.0,4.0,260.0,4
2097,Electronic City Phase II,1116.0,2.0,37.0,2
2098,Electronic City Phase II,1125.0,2.0,29.25,2
2099,Electronic City Phase II,1000.0,2.0,28.88,2
2100,Electronic City Phase II,1000.0,2.0,28.88,2
2101,Electronic City Phase II,1000.0,2.0,28.88,2
2102,Electronic City Phase II,1165.0,2.0,30.29,2
2103,Electronic City Phase II,3550.0,2.0,167.5,4
2104,Electronic City Phase II,1031.0,2.0,53.0,2
2105,Electronic City Phase II,1611.0,2.0,48.33,3
2106,Electronic City Phase II,1065.0,2.0,30.88,2
2107,Electronic City Phase II,1220.0,3.0,36.6,3
2108,Electronic City Phase II,1549.0,3.0,80.0,3
2109,Electronic City Phase II,1065.0,2.0,56.13,2
2110,Electronic City Phase II,1320.0,2.0,38.13,3
2111,Electronic City Phase II,920.0,2.0,26.0,2
2112,Electronic City Phase II,1140.0,2.0,33.84,2
2113,Electronic City Phase II,1219.0,2.0,61.26,2
2114,Electronic City Phase II,1252.0,2.0,65.0,3
2115,Electronic City Phase II,1125.0,2.0,32.49,2
2116,Electronic City Phase II,1310.0,2.0,37.83,3
2117,Electronic City Phase II,1286.0,2.0,69.0,2
2118,Electronic City Phase II,1220.0,2.0,36.21,3
2119,Electronic City Phase II,1140.0,2.0,32.92,2
2120,Electronic City Phase II,1116.0,2.0,40.0,2
2121,Electronic City Phase II,1150.0,3.0,46.0,3
2122,Electronic City Phase II,1192.0,2.0,47.0,3
2123,Electronic City Phase II,1502.0,3.0,50.0,3
2124,Electronic City Phase II,1020.0,2.0,32.0,2
2125,Electronic City Phase II,1900.0,3.0,97.0,4
2126,Electronic City Phase II,1020.0,2.0,27.43,2
2127,Electronic City Phase II,1025.0,2.0,26.65,2
2128,Electronic City Phase II,1020.0,2.0,29.45,2
2129,Electronic City Phase II,1000.0,2.0,28.88,2
2130,Electronic City Phase II,1310.0,2.0,37.84,3
2131,Electronic City Phase II,1140.0,2.0,28.5,2
2132,Electronic City Phase II,1125.0,2.0,32.49,2
2133,Electronic City Phase II,1200.0,2.0,34.65,2
2134,Electronic City Phase II,1160.0,2.0,52.2,2
2135,Electronic City Phase II,1244.0,2.0,55.0,2
2136,Electronic City Phase II,1160.0,2.0,33.51,2
2137,Electronic City Phase II,1220.0,3.0,35.25,3
2138,Electronic City Phase II,1625.0,2.0,48.75,3
2139,Electronic City Phase II,972.0,2.0,40.0,2
2140,Electronic City Phase II,1160.0,2.0,33.51,2
2141,Electronic City Phase II,1400.0,2.0,40.45,3
2142,Electronic City Phase II,1090.0,2.0,31.48,2
2143,Electronic City Phase II,1140.0,2.0,32.92,2
2144,Electronic City Phase II,650.0,1.0,35.0,1
2145,Electronic City Phase II,1155.0,2.0,57.0,2
2146,Electronic City Phase II,1800.0,3.0,92.0,3
2147,Electronic City Phase II,1300.0,2.0,28.0,2
2148,Electronic City Phase II,1160.0,2.0,33.5,2
2149,Electronic City Phase II,1025.0,2.0,29.6,2
2150,Electronic City Phase II,829.0,2.0,22.8,2
2151,Electronic City Phase II,2187.0,4.0,105.0,4
2152,Electronic City Phase II,1252.0,2.0,67.0,2
2153,Electronic City Phase II,1320.0,2.0,38.12,3
2154,Electronic City Phase II,1125.0,2.0,32.63,2
2155,Electronic City Phase II,1140.0,2.0,34.0,2
2156,Electronic City Phase II,1310.0,2.0,37.84,3
2157,Electronic City Phase II,1400.0,2.0,40.43,3
2158,Electronic City Phase II,1252.0,2.0,65.0,3
2159,Electronic City Phase II,1135.0,2.0,46.0,2
2160,Electronic City Phase II,1305.0,3.0,65.0,3
2161,Electronic City Phase II,1165.0,2.0,33.64,2
2162,Electronic City Phase II,1400.0,2.0,40.44,3
2163,Electronic City Phase II,1336.0,2.0,50.35,3
2164,Electronic City Phase II,575.0,1.0,16.75,1
2165,Electronic City Phase II,925.0,2.0,49.82,3
2166,Electronic City Phase II,1065.0,2.0,30.76,2
2167,Electronic City Phase II,1065.0,2.0,30.75,2
2168,Electronic City Phase II,1140.0,2.0,33.06,2
2169,Electronic City Phase II,911.0,2.0,26.5,2
2170,Electronic City Phase II,1200.0,2.0,34.65,2
2171,Electronic City Phase II,1031.0,2.0,54.48,2
2172,Electronic City Phase II,1310.0,2.0,37.83,3
2173,Electronic City Phase II,1651.0,3.0,49.53,3
2174,Electronics City Phase 1,1070.0,2.0,45.5,2
2175,Electronics City Phase 1,1475.0,3.0,78.29,3
2176,Electronics City Phase 1,1490.0,3.0,78.8,3
2177,Electronics City Phase 1,1113.27,2.0,53.0,2
2178,Electronics City Phase 1,1490.0,3.0,84.0,3
2179,Electronics City Phase 1,1175.0,2.0,51.47,2
2180,Electronics City Phase 1,1160.0,2.0,52.0,2
2181,Electronics City Phase 1,920.0,2.0,33.0,2
2182,Electronics City Phase 1,1750.0,3.0,84.0,3
2183,Electronics City Phase 1,1350.0,3.0,55.0,3
2184,Electronics City Phase 1,940.0,2.0,40.0,2
2185,Electronics City Phase 1,1015.0,2.0,56.0,2
2186,Electronics City Phase 1,1595.0,3.0,75.0,3
2187,Electronics City Phase 1,1515.0,2.0,80.91,3
2188,Electronics City Phase 1,995.0,2.0,46.0,2
2189,Electronics City Phase 1,1555.0,2.0,82.0,3
2190,Electronics City Phase 1,1340.0,2.0,75.0,2
2191,Electronics City Phase 1,1124.0,2.0,55.0,3
2192,Electronics City Phase 1,1175.0,2.0,57.0,2
2193,Electronics City Phase 1,755.0,1.0,42.41,1
2194,Electronics City Phase 1,580.0,1.0,27.0,1
2195,Electronics City Phase 1,940.0,2.0,49.0,2
2196,Electronics City Phase 1,1335.0,2.0,67.0,2
2197,Electronics City Phase 1,1113.12,2.0,55.0,2
2198,Electronics City Phase 1,995.0,2.0,42.0,2
2199,Electronics City Phase 1,1350.0,3.0,71.0,3
2200,Electronics City Phase 1,1445.0,2.0,56.0,3
2201,Electronics City Phase 1,995.0,2.0,49.8,2
2202,Electronics City Phase 1,635.0,1.0,26.0,1
2203,Electronics City Phase 1,1190.0,2.0,68.0,2
2204,Electronics City Phase 1,1085.0,2.0,46.0,2
2205,Electronics City Phase 1,1450.0,3.0,72.54,3
2206,Electronics City Phase 1,360.0,1.0,16.9,1
2207,Electronics City Phase 1,638.0,1.0,32.0,1
2208,Electronics City Phase 1,1175.0,2.0,64.98,2
2209,Electronics City Phase 1,585.0,1.0,21.0,1
2210,Electronics City Phase 1,1200.0,2.0,59.76,2
2211,Electronics City Phase 1,1145.0,2.0,54.0,2
2212,Electronics City Phase 1,1125.0,2.0,65.0,2
2213,Electronics City Phase 1,1522.0,2.0,60.75,3
2214,Electronics City Phase 1,1550.0,2.0,82.0,3
2215,Electronics City Phase 1,1175.0,2.0,50.0,2
2216,Electronics City Phase 1,865.0,2.0,40.0,2
2217,Electronics City Phase 1,1450.0,3.0,70.0,3
2218,Electronics City Phase 1,1450.0,2.0,63.51,3
2219,Electronics City Phase 1,1450.0,3.0,58.0,3
2220,Electronics City Phase 1,1800.0,3.0,93.0,3
2221,Electronics City Phase 1,1314.0,2.0,60.0,2
2222,Electronics City Phase 1,1170.0,2.0,62.0,2
2223,Electronics City Phase 1,1450.0,3.0,79.0,3
2224,Electronics City Phase 1,940.0,2.0,48.0,2
2225,Electronics City Phase 1,940.0,2.0,44.0,2
2226,Electronics City Phase 1,1300.0,2.0,67.0,2
2227,Electronics City Phase 1,1028.0,2.0,51.0,2
2228,Electronics City Phase 1,1080.0,2.0,46.0,2
2229,Electronics City Phase 1,1205.0,2.0,60.0,2
2230,Electronics City Phase 1,1900.0,3.0,85.0,3
2231,Electronics City Phase 1,1305.0,2.0,67.0,2
2232,Electronics City Phase 1,755.0,1.0,30.12,1
2233,Electronics City Phase 1,1175.0,2.0,60.0,2
2234,Frazer Town,1700.0,3.0,180.0,3
2235,Frazer Town,1305.0,3.0,95.45,3
2236,Frazer Town,1870.0,3.0,185.0,3
2237,Frazer Town,1750.0,3.0,150.0,3
2238,Frazer Town,4850.0,6.0,385.0,4
2239,Frazer Town,2000.0,3.0,200.0,3
2240,Frazer Town,3500.0,4.0,330.0,3
2241,Frazer Town,2350.0,4.0,285.0,3
2242,Frazer Town,1550.0,2.0,140.0,2
2243,Frazer Town,1900.0,4.0,145.0,3
2244,Frazer Town,2560.0,3.0,265.0,3
2245,Frazer Town,2400.0,3.0,260.0,3
2246,Frazer Town,2560.0,3.0,288.0,3
2247,Frazer Town,3436.0,5.0,341.0,4
2248,Frazer Town,4856.0,5.0,410.0,4
2249,Frazer Town,1315.0,2.0,140.0,2
2250,Frazer Town,1706.0,3.0,154.0,3
2251,Frazer Town,2079.0,3.0,220.0,3
2252,Frazer Town,3435.0,2.0,341.0,4
2253,Frazer Town,3436.0,5.0,345.0,4
2254,Frazer Town,3100.0,3.0,400.0,3
2255,Frazer Town,5400.0,3.0,400.0,3
2256,Frazer Town,1180.0,2.0,105.0,2
2257,Frazer Town,2900.0,4.0,325.0,4
2258,Frazer Town,1870.0,3.0,180.0,3
2259,Frazer Town,896.0,1.0,100.0,1
2260,Frazer Town,1420.0,2.0,120.0,2
2261,GM Palaya,1820.0,2.0,86.0,3
2262,GM Palaya,1225.0,2.0,47.0,2
2263,GM Palaya,1140.0,2.0,48.95,2
2264,GM Palaya,1315.0,2.0,65.0,3
2265,GM Palaya,1315.0,3.0,65.0,3
2266,GM Palaya,1315.0,3.0,64.0,3
2267,GM Palaya,1735.0,3.0,70.0,3
2268,GM Palaya,1643.0,2.0,70.0,3
2269,Garudachar Palya,1325.0,2.0,60.8,3
2270,Garudachar Palya,1060.0,2.0,48.7,2
2271,Garudachar Palya,1150.0,2.0,52.75,2
2272,Garudachar Palya,1295.0,2.0,59.5,3
2273,Garudachar Palya,1320.0,2.0,60.6,3
2274,Garudachar Palya,1295.0,2.0,59.5,3
2275,Garudachar Palya,1150.0,2.0,52.8,2
2276,Garudachar Palya,1150.0,2.0,52.8,2
2277,Garudachar Palya,1060.0,2.0,48.5,2
2278,Garudachar Palya,1150.0,2.0,52.5,2
2279,Garudachar Palya,1325.0,2.0,60.8,3
2280,Garudachar Palya,1060.0,2.0,48.66,2
2281,Garudachar Palya,1150.0,2.0,52.0,2
2282,Garudachar Palya,1154.0,2.0,51.8,2
2283,Garudachar Palya,1325.0,2.0,60.0,3
2284,Giri Nagar,2400.0,4.0,400.0,4
2285,Giri Nagar,1800.0,3.0,252.0,3
2286,Giri Nagar,1350.0,3.0,240.0,3
2287,Giri Nagar,2400.0,4.0,400.0,4
2288,Giri Nagar,3000.0,4.0,375.0,6
2289,Giri Nagar,2400.0,6.0,400.0,6
2290,Giri Nagar,4000.0,3.0,750.0,4
2291,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2292,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2293,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2294,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2295,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2296,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2297,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2298,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2299,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2300,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2301,Gottigere,1100.0,2.0,40.0,2
2302,Gottigere,967.0,2.0,45.0,2
2303,Gottigere,1618.0,3.0,82.5,3
2304,Gottigere,1222.0,2.0,63.0,2
2305,Gottigere,1600.0,2.0,55.0,3
2306,Gottigere,1300.0,3.0,65.0,3
2307,Gottigere,950.0,2.0,38.0,2
2308,Gottigere,1153.0,2.0,48.5,2
2309,Gottigere,812.0,1.0,26.0,1
2310,Gottigere,2000.0,4.0,82.0,4
2311,Gottigere,1460.0,2.0,65.0,3
2312,Gottigere,1500.0,3.0,70.0,3
2313,Gottigere,1621.0,3.0,72.0,3
2314,Gottigere,812.0,1.0,26.0,1
2315,Gottigere,990.0,2.0,40.0,2
2316,Gottigere,1235.0,2.0,63.0,2
2317,Gottigere,1385.0,3.0,64.0,3
2318,Gottigere,1000.0,2.0,35.0,2
2319,Gottigere,1010.0,2.0,35.0,2
2320,Gottigere,1385.0,2.0,50.0,3
2321,Gottigere,1425.0,2.0,47.0,3
2322,Gottigere,1435.0,2.0,62.0,3
2323,Gottigere,945.0,2.0,45.0,2
2324,Gottigere,1400.0,2.0,50.0,3
2325,Gottigere,2500.0,3.0,120.0,4
2326,Gottigere,1230.0,2.0,52.0,3
2327,Gottigere,1120.0,2.0,50.0,2
2328,Gottigere,1500.0,3.0,63.0,3
2329,Gottigere,1200.0,2.0,40.0,2
2330,Gottigere,1280.0,2.0,61.0,2
2331,Gottigere,1205.0,2.0,56.58,2
2332,Gottigere,1170.0,2.0,40.0,2
2333,Gottigere,3000.0,3.0,132.0,4
2334,Gottigere,1613.0,3.0,72.0,3
2335,Gottigere,1110.0,2.0,36.25,2
2336,Gottigere,1245.0,2.0,59.0,2
2337,Gottigere,1200.0,2.0,50.0,2
2338,Green Glen Layout,1670.0,3.0,120.0,3
2339,Green Glen Layout,3250.0,4.0,230.0,4
2340,Green Glen Layout,1776.42,3.0,105.0,3
2341,Green Glen Layout,3250.0,4.0,230.0,4
2342,Green Glen Layout,940.0,2.0,56.8,2
2343,Green Glen Layout,1075.0,2.0,60.0,2
2344,Green Glen Layout,1715.0,3.0,115.0,3
2345,Green Glen Layout,1751.0,2.0,115.0,3
2346,Green Glen Layout,1750.0,3.0,130.0,3
2347,Green Glen Layout,1530.0,3.0,105.0,3
2348,Green Glen Layout,1752.0,3.0,105.0,3
2349,Green Glen Layout,1680.0,4.0,95.0,3
2350,Green Glen Layout,1728.0,3.0,125.0,3
2351,Green Glen Layout,1645.0,3.0,110.0,3
2352,Green Glen Layout,1517.0,3.0,100.0,3
2353,Green Glen Layout,3150.0,4.0,218.0,4
2354,Green Glen Layout,3270.0,4.0,205.0,4
2355,Green Glen Layout,1750.0,3.0,120.0,3
2356,Green Glen Layout,1751.0,3.0,115.0,3
2357,Green Glen Layout,1750.0,3.0,105.0,3
2358,Green Glen Layout,1885.0,3.0,135.0,3
2359,Green Glen Layout,1715.0,3.0,120.0,3
2360,Green Glen Layout,1623.29,2.0,105.0,3
2361,Green Glen Layout,1715.0,3.0,115.0,3
2362,Green Glen Layout,1715.0,3.0,105.0,3
2363,Green Glen Layout,1600.0,3.0,105.0,3
2364,Green Glen Layout,1717.0,3.0,125.0,3
2365,Green Glen Layout,1250.0,2.0,75.0,2
2366,Green Glen Layout,1715.0,3.0,112.0,3
2367,Gubbalala,1470.0,2.0,82.0,3
2368,Gubbalala,1745.0,3.0,104.0,3
2369,Gubbalala,1745.0,3.0,115.0,3
2370,Gubbalala,1745.0,3.0,110.0,3
2371,Gubbalala,1650.0,3.0,71.0,3
2372,Gubbalala,2570.0,4.0,141.0,5
2373,Gubbalala,1205.0,2.0,70.0,2
2374,Gubbalala,1435.0,2.0,80.0,3
2375,Gubbalala,1475.0,2.0,80.0,2
2376,Gubbalala,2000.0,4.0,85.0,4
2377,Gubbalala,1100.0,2.0,49.5,2
2378,Gubbalala,1060.0,2.0,46.0,2
2379,Gubbalala,2000.0,3.0,125.0,3
2380,Gubbalala,4000.0,5.0,195.0,4
2381,Gunjur,1140.0,2.0,43.0,2
2382,Gunjur,1356.0,2.0,66.0,3
2383,Gunjur,1600.0,3.0,75.0,3
2384,Gunjur,2000.0,3.0,95.0,4
2385,Gunjur,1140.0,2.0,49.11,2
2386,Gunjur,1195.0,2.0,44.0,2
2387,Gunjur,1190.0,2.0,40.0,2
2388,Gunjur,1457.0,2.0,60.0,2
2389,Gunjur,1080.0,2.0,41.0,2
2390,Gunjur,2132.0,3.0,80.0,3
2391,Gunjur,1800.0,3.0,70.0,3
2392,Gunjur,1175.0,2.0,43.48,2
2393,Gunjur,1362.0,3.0,62.63,3
2394,Gunjur,1071.0,2.0,51.0,2
2395,Gunjur,1063.0,2.0,40.0,2
2396,Gunjur,1235.0,2.0,52.76,2
2397,Gunjur,1362.0,3.0,62.63,3
2398,Gunjur,1362.0,3.0,62.63,3
2399,Gunjur,1588.0,2.0,90.0,3
2400,Gunjur,1235.0,2.0,44.5,2
2401,Gunjur,1457.0,2.0,60.0,2
2402,HAL 2nd Stage,1490.0,2.0,300.0,3
2403,HAL 2nd Stage,600.0,3.0,145.0,2
2404,HAL 2nd Stage,2700.0,3.0,500.0,3
2405,HAL 2nd Stage,2040.0,4.0,500.0,5
2406,HBR Layout,2800.0,2.0,200.0,3
2407,HBR Layout,1722.0,3.0,95.0,3
2408,HBR Layout,1200.0,4.0,120.0,4
